year,country_code,metric_code,mean,sd,lobound_10,upbound_90
2017,SAU,dpex,3.8752229,1.409255,2.0713766,5.6790695
2018,SAU,dpex,2.8725669,.91253418,1.7045232,4.0406108
2019,SAU,dpex,1.2500002,1.2626336,-.36617073,2.8661711
2018,SLB,dpex,10,0,10,10
2019,SLB,dpex,10,0,10,10
2018,TON,dpex,10,0,10,10
2019,TON,dpex,10,0,10,10
2017,USA,dpex,7.0362549,.46085709,6.4463577,7.626152
2018,USA,dpex,5.6639743,.44804925,5.0904713,6.2374773
2019,USA,dpex,4.0180511,.54804862,3.3165488,4.7195535
2017,VEN,dpex,10,0,10,10
2018,VEN,dpex,10,0,10,10
2019,VEN,dpex,10,0,10,10
2017,VNM,dpex,4.3710237,.63528448,3.5578594,5.1841879
2018,VNM,dpex,3.9415076,.50852525,3.2905953,4.5924201
2019,VNM,dpex,3.5891318,.77558482,2.5963833,4.5818806
2018,WSM,dpex,10,0,10,10
2019,WSM,dpex,10,0,10,10
2017,AGO,exkill,3.9170775,.81370461,2.8755357,4.9586196
2018,AGO,exkill,4.1865768,.36573493,3.7184362,4.6547174
2019,AGO,exkill,4.3920107,.43657306,3.8331971,4.9508243
2017,AUS,exkill,7.3240533,.25021482,7.0037785,7.6443281
2018,AUS,exkill,6.7696729,.25607747,6.4418936,7.0974522
2019,AUS,exkill,5.8638701,.46641323,5.2668614,6.4608788
2017,BRA,exkill,2.3319731,.49961695,1.6924634,2.9714828
2018,BRA,exkill,2.0777571,.19838654,1.8238224,2.331692
2019,BRA,exkill,1.5808901,.20867915,1.3137808,1.8479993
2017,COD,exkill,5.16677,1.0460757,3.8277931,6.5057468
2018,COD,exkill,3.1198719,.47364759,2.513603,3.7261407
2019,COD,exkill,3.543175,.49287486,2.9122951,4.1740546
2018,COK,exkill,7.701951,.99824011,6.4242039,8.9796982
2019,COK,exkill,7.7365689,1.0022591,6.4536772,9.0194607
2017,FJI,exkill,6.3238754,.72174352,5.4000435,7.2477074
2018,FJI,exkill,7.0983706,.40175796,6.5841203,7.6126208
2019,FJI,exkill,7.8256478,.53853238,7.1363263,8.5149689
2017,GBR,exkill,6.9634328,.32219434,6.551024,7.3758416
2018,GBR,exkill,6.7504106,.29679635,6.3705111,7.1303101
2019,GBR,exkill,6.2014308,.49856737,5.5632644,6.8395972
2018,GUM,exkill,7.2958908,.6384005,6.4787383,8.1130438
2019,GUM,exkill,7.3107057,.60369664,6.5379739,8.083437
2017,JOR,exkill,6.4613667,.88173908,5.3327408,7.5899925
2018,JOR,exkill,6.9912143,.66047668,6.1458039,7.8366246
2019,JOR,exkill,7.5784044,.94874382,6.3640122,8.7927961
2017,KAZ,exkill,6.3364816,.44243291,5.7701674,6.9027958
2018,KAZ,exkill,6.4921074,.27097392,6.1452608,6.838954
2019,KAZ,exkill,6.0197792,.4187189,5.483819,6.5557394
2017,KGZ,exkill,7.3483062,.41519409,6.8168578,7.8797545
2018,KGZ,exkill,7.2977233,.29961532,6.9142156,7.681231
2019,KGZ,exkill,7.2701058,.48068282,6.6548319,7.8853798
2017,KOR,exkill,7.223824,.75693989,6.254941,8.1927071
2018,KOR,exkill,8.2206078,.79182279,7.2070746,9.2341413
2019,KOR,exkill,9.7211485,1.2148303,8.1661654,11.276132
2017,LBR,exkill,5.8096461,.67692089,4.9431872,6.676105
2018,LBR,exkill,6.4014359,.49103937,5.7729053,7.0299664
2019,LBR,exkill,6.1386824,.77156001,5.1510854,7.1262794
2017,MEX,exkill,2.8070581,.52404541,2.1362801,3.4778361
2018,MEX,exkill,2.914355,.44755015,2.3414907,3.4872193
2019,MEX,exkill,3.8089595,.65462422,2.9710405,4.6468787
2017,MOZ,exkill,3.9130824,.5776757,3.1736574,4.6525073
